Index,Gryffindor Probability,Hufflepuff Probability,Ravenclaw Probability,Slytherin Probability,Real House
881,0,0,0,1,Slytherin
1449,0,0,0,1,Slytherin
1082,0,0,0,1,Slytherin
313,0,1,0,0,Hufflepuff
80,0,1,0,0,Hufflepuff
1568,0,0,1,0,Ravenclaw
952,0,0,0,1,Slytherin
49,1,0,0,0,Gryffindor
1011,0,0,0,1,Slytherin
759,1,0,0,0,Gryffindor
1057,0,0,1,0,Ravenclaw
457,0,0,1,0,Ravenclaw
1389,0,0,1,0,Ravenclaw
1048,0,0,1,0,Ravenclaw
1411,0,1,0,0,Hufflepuff
793,0,1,0,0,Hufflepuff
1404,1,0,0,0,Gryffindor
977,0,1,0,0,Hufflepuff
1440,1,0,0,0,Gryffindor
590,0,0,1,0,Ravenclaw
169,1,0,0,0,Gryffindor
1508,0,0,0,1,Slytherin
571,0,1,0,0,Hufflepuff
281,0,0,1,0,Ravenclaw
1301,1,0,0,0,Gryffindor
1465,0,0,1,0,Ravenclaw
403,0,1,0,0,Hufflepuff
402,0,0,0,1,Slytherin
57,0,0,0,1,Slytherin
355,1,0,0,0,Gryffindor
974,1,0,0,0,Gryffindor
594,0,0,1,0,Ravenclaw
1143,0,1,0,0,Hufflepuff
1450,0,0,1,0,Ravenclaw
1397,1,0,0,0,Gryffindor
1323,1,0,0,0,Gryffindor
226,0,1,0,0,Hufflepuff
1013,1,0,0,0,Gryffindor
287,0,1,0,0,Hufflepuff
201,1,0,0,0,Gryffindor
82,0,0,0,1,Slytherin
1138,0,0,1,0,Ravenclaw
394,0,0,1,0,Ravenclaw
1094,0,1,0,0,Hufflepuff
397,0,0,0,1,Slytherin
598,0,0,1,0,Ravenclaw
450,0,1,0,0,Hufflepuff
148,1,0,0,0,Gryffindor
356,0,0,0,1,Slytherin
1354,0,1,0,0,Hufflepuff
1548,0,0,0,1,Slytherin
1176,0,1,0,0,Hufflepuff
184,0,0,0,1,Ravenclaw
1292,0,0,0,1,Slytherin
861,0,0,1,0,Ravenclaw
133,0,1,0,0,Hufflepuff
213,0,0,0,1,Slytherin
1031,0,1,0,0,Hufflepuff
873,0,0,0,1,Slytherin
1510,0,1,0,0,Hufflepuff
887,0,0,0,1,Slytherin
623,0,1,0,0,Hufflepuff
1115,0,1,0,0,Hufflepuff
944,0,1,0,0,Hufflepuff
149,1,0,0,0,Gryffindor
917,0,0,1,0,Ravenclaw
1159,1,0,0,0,Gryffindor
495,0,1,0,0,Hufflepuff
843,1,0,0,0,Gryffindor
1363,1,0,0,0,Gryffindor
997,0,1,0,0,Hufflepuff
1099,0,1,0,0,Hufflepuff
537,0,0,1,0,Ravenclaw
670,1,0,0,0,Gryffindor
1064,0,0,1,0,Ravenclaw
1489,0,0,1,0,Ravenclaw
988,0,0,1,0,Ravenclaw
913,0,0,1,0,Ravenclaw
179,0,0,1,0,Ravenclaw
1105,0,1,0,0,Hufflepuff
541,1,0,0,0,Gryffindor
1218,0,0,1,0,Ravenclaw
390,0,1,0,0,Hufflepuff
653,0,0,0,1,Slytherin
1169,0,1,0,0,Hufflepuff
1515,0,0,1,0,Gryffindor
444,0,0,1,0,Ravenclaw
961,0,0,1,0,Ravenclaw
1212,0,0,0,1,Slytherin
101,0,1,0,0,Hufflepuff
1340,0,0,0,1,Slytherin
326,0,0,1,0,Ravenclaw
316,0,0,1,0,Ravenclaw
1371,0,0,1,0,Ravenclaw
1180,0,0,0,1,Slytherin
513,0,1,0,0,Hufflepuff
274,0,0,1,0,Ravenclaw
173,0,0,1,0,Ravenclaw
1151,0,0,0,1,Slytherin
612,0,0,0,1,Slytherin
46,0,0,1,0,Ravenclaw
1042,1,0,0,0,Gryffindor
10,0,1,0,0,Hufflepuff
1131,0,1,0,0,Hufflepuff
565,0,1,0,0,Hufflepuff
145,1,0,0,0,Gryffindor
430,1,0,0,0,Gryffindor
938,0,0,1,0,Ravenclaw
208,0,1,0,0,Hufflepuff
1144,0,0,1,0,Ravenclaw
